Year (CE),Depth Jan. 1 (m)
2011,10.90918975
2010,13.51126385
2009,17.074
2008,18.92284187
2007,21.80272257
2006,24.44261321
2005,27.25555265
2004,29.75754697
2003,32.6932203
2002,35.4287341
2001,37.59712917
2000,39.8322441
1999,41.70712358
1998,44.21584366
1997,46.07254483
1996,47.1620324
1995,48.98631283
1994,50.92118844
1993,53.12294344
1992,54.59078011
1991,56.13671921
1990,57.63374149
1989,59.24165432
1988,61.23768403
1987,62.67926104
1986,64.28717386
1985,65.92280932
1984,66.92082418
1983,67.94656167
1982,69.38813868
1981,70.69110252
1980,72.21584744
1979,74.04554134
1978,75.0435562
1977,76.40196531
1976,77.67720651
1975,78.73066663
1974,79.64551359
1973,80.50368081
1972,81.27515896
1971,82.16335556
1970,83.20209396
1969,84.37631997
1968,85.20429986
1967,86.12260482
1966,87.38715591
1965,88.44094849
1964,89.11838658
1963,89.93131228
1962,90.92488814
1961,91.90340982
1960,92.86524294
1959,93.68589332
1958,94.37229529
1957,94.98172402
1956,95.56442367
1955,96.20537235
1954,97.02515859
1953,97.73270503
1952,98.48541402
1951,99.19296046
1950,99.64458586
1949,100.156428
1948,100.623525
1947,101.3155998
1946,101.8123877
1945,102.6403676
1944,103.3853268
1943,104.15309
1942,104.7853655
1941,105.4326952
1940,106.1285396
1939,106.7634579
1938,107.0465169
1937,107.7209305
1936,108.1725559
1935,108.684398
1934,109.181186
1933,109.8887324
1932,110.6414414
1931,111.2887711
1930,111.951155
1929,112.4931055
1928,113.0501102
1927,113.456573
1926,113.8864184
1925,114.5361394
1924,115.041478
1923,115.5823822
1922,116.1655984
1921,116.5265545
1920,116.9390757
1919,117.4134752
1918,117.9188137
1917,118.3003959
1916,118.671665
1915,119.0119951
1914,119.4657685
1913,119.8886028
1912,120.3217501
1911,120.6596584
1910,120.9747295
1909,121.2604917
1908,121.5242722
1907,122.0005425
1906,122.4944605
1905,122.7992112
1904,123.1435913
1903,123.414699
1902,123.7444246
1901,124.0228595
1900,124.4185302
1899,124.7775648
1898,125.1732355
1897,125.4296887
1896,125.6934692
1895,126.1243756
1894,126.3295382
1893,126.6372821
1892,126.8804814
1891,127.1149529
1890,127.61578
1889,127.8632927
1888,128.275814
1887,128.4633285
1886,128.7617523
1885,129.045036
1884,129.2606797
1883,129.4891605
1882,129.652361
1881,129.8342131
1880,129.983425
1879,130.1839285
1878,130.3471291
1877,130.533644
1876,130.7574619
1875,131.1186436
1874,131.410264
1873,131.6573963
1872,131.8532369
1871,132.1003692
1870,132.291547
1869,132.5246906
1868,132.7205313
1867,132.9676635
1866,133.1961443
